
2026-03-05- 05:45:04,11.76,40,Haze
2026-03-05- 06:32:25,11.76,43,Haze
2026-03-05- 07:27:27,10.76,46,Clouds
2026-03-05- 08:00:56,10.76,46,Haze
2026-03-05- 08:56:19,7.36,73,Rain
2026-03-05- 09:42:01,6.76,76,Rain
2026-03-05- 10:24:08,4.76,93,Rain
2026-03-05- 11:05:08,3.76,93,Rain
2026-03-05- 11:46:15,3.76,93,Rain
2026-03-05- 12:26:58,1.76,100,Rain
2026-03-05- 13:41:35,1.89,99,Rain
2026-03-05- 14:30:05,2.3,99,Rain
2026-03-05- 15:28:59,0.76,100,Snow
2026-03-05- 16:12:12,2.3,96,Rain
2026-03-05- 18:22:10,2.22,86,Clouds
2026-03-05- 19:39:19,-0.24,100,Mist
2026-03-05- 20:20:39,2.6,74,Clouds
2026-03-05- 20:56:12,-0.24,100,Mist
2026-03-05- 21:34:59,0.76,100,Mist
2026-03-05- 22:00:57,0.76,100,Mist
2026-03-05- 23:57:46,1.76,93,Mist
2026-03-06- 02:25:34,3.76,81,Mist
2026-03-06- 04:20:00,3.32,60,Clouds
2026-03-06- 05:16:41,3.37,58,Clouds
2026-03-06- 06:01:42,3.76,70,Mist
2026-03-06- 07:03:27,4.26,45,Clouds
2026-03-06- 07:47:53,2.76,70,Haze
2026-03-06- 08:20:30,2.76,70,Clouds
2026-03-06- 08:59:11,3.31,46,Rain
2026-03-06- 09:50:33,2.76,65,Haze
2026-03-06- 10:21:34,0.76,75,Clouds
2026-03-06- 10:59:04,1.23,45,Clouds
2026-03-06- 11:36:15,1.23,45,Clouds
2026-03-06- 11:56:15,1.76,64,Clouds
2026-03-06- 12:55:14,-0.24,69,Clouds
2026-03-06- 13:53:02,-0.24,69,Clouds
2026-03-06- 14:29:46,-0.24,64,Clouds
2026-03-06- 15:06:29,-0.24,64,Clouds
2026-03-06- 15:52:12,-1.24,69,Clear
2026-03-06- 16:25:32,-0.5,36,Clear
2026-03-06- 17:05:16,-1.24,64,Clear
2026-03-06- 17:50:22,-1.32,34,Clear
2026-03-06- 18:26:21,-1.32,34,Clear
2026-03-06- 19:09:01,-3.24,80,Clear
2026-03-06- 19:47:10,-1.4,34,Clear
2026-03-06- 20:03:02,-3.24,80,Clear
2026-03-06- 20:45:47,-3.24,80,Clear
2026-03-06- 21:14:39,-1.48,34,Clear
2026-03-06- 21:45:55,-1.45,33,Clear
2026-03-06- 22:00:41,-3.24,68,Clear
2026-03-06- 22:39:13,-1.36,32,Clear
2026-03-06- 23:00:57,-3.24,68,Clear
2026-03-06- 23:36:24,-1.24,59,Clear
2026-03-06- 23:55:00,-0.76,30,Clear
2026-03-07- 01:42:02,0.76,47,Clear
2026-03-07- 03:47:03,3.47,16,Clear
2026-03-07- 04:50:54,3.76,41,Clear
2026-03-07- 05:29:37,4.4,16,Clear
2026-03-07- 06:01:06,4.92,16,Clear
2026-03-07- 06:55:22,4.76,33,Clear
2026-03-07- 07:26:37,4.76,33,Clear
2026-03-07- 07:48:52,4.76,33,Clear
2026-03-07- 08:00:06,4.33,17,Clear
2026-03-07- 08:41:29,4.76,30,Clear
2026-03-07- 09:01:15,4.76,30,Clear
2026-03-07- 09:38:29,2.76,35,Clear
2026-03-07- 09:55:16,2.76,35,Clear
2026-03-07- 10:20:09,1.76,41,Clear
2026-03-07- 10:44:46,1.76,41,Clear
2026-03-07- 10:58:41,1.76,41,Clear
2026-03-07- 11:26:26,-0.24,51,Clear
2026-03-07- 11:43:07,-0.24,51,Clear
2026-03-07- 11:54:21,1.86,26,Clear
2026-03-07- 12:34:30,-0.24,55,Clear
2026-03-07- 13:24:35,-2.24,64,Clear
2026-03-07- 13:54:06,-2.24,64,Clear
2026-03-07- 14:18:26,-2.24,64,Clear
2026-03-07- 14:44:39,-0.05,32,Clear
2026-03-07- 14:58:43,-2.24,64,Clear
2026-03-07- 15:30:01,-2.24,64,Clear
2026-03-07- 15:48:38,-0.31,33,Clear
2026-03-07- 15:59:55,-2.24,64,Clear
2026-03-07- 16:38:36,-3.24,74,Clear
2026-03-07- 16:56:31,-3.24,74,Clear
2026-03-07- 17:21:35,-4.24,74,Clear
2026-03-07- 17:42:17,-4.24,74,Clear
2026-03-07- 17:55:16,-4.24,74,Clear
2026-03-07- 18:29:05,-0.59,35,Clear
2026-03-07- 18:57:16,-0.59,35,Clear
2026-03-07- 19:24:10,-0.59,35,Clear
2026-03-07- 19:41:57,-0.61,35,Clear
2026-03-07- 19:53:52,-4.24,80,Clear
2026-03-07- 20:17:16,-5.24,80,Clear
2026-03-07- 20:43:24,-0.65,35,Clear
2026-03-07- 20:58:07,-5.24,80,Clear
2026-03-07- 21:26:41,-5.24,86,Clear
2026-03-07- 21:43:59,-5.24,86,Clear
2026-03-07- 21:55:03,-5.24,86,Clear
2026-03-07- 22:19:17,-6.24,93,Clear
2026-03-07- 22:44:09,-6.24,93,Clear
2026-03-07- 22:58:26,-0.26,32,Clear
2026-03-07- 23:28:31,-2.24,80,Clear
2026-03-07- 23:47:10,0.59,29,Clear
2026-03-07- 23:58:19,-2.24,80,Clear
2026-03-08- 02:37:01,3.76,38,Clear
